season,y_bins,goal_dist_bins,total,average_per_hour,y_mid,goal_mid
2016,"(-32, -30]","(12, 14]",29,0.002606038820992092,-31.0,13.0
2016,"(-32, -30]","(14, 16]",35,0.003145219266714594,-31.0,15.0
2016,"(-32, -30]","(16, 18]",31,0.002785765636232926,-31.0,17.0
2016,"(-32, -30]","(18, 20]",36,0.003235082674335011,-31.0,19.0
2016,"(-32, -30]","(20, 22]",32,0.002875629043853343,-31.0,21.0
2016,"(-32, -30]","(22, 24]",34,0.003055355859094177,-31.0,23.0
2016,"(-32, -30]","(24, 26]",56,0.0050323508267433505,-31.0,25.0
2016,"(-32, -30]","(26, 28]",57,0.005122214234363767,-31.0,27.0
2016,"(-32, -30]","(28, 30]",41,0.0036843997124370955,-31.0,29.0
2016,"(-32, -30]","(30, 32]",42,0.0037742631200575125,-31.0,31.0
2016,"(-32, -30]","(32, 34]",51,0.004583033788641265,-31.0,33.0
2016,"(-32, -30]","(34, 36]",58,0.005212077641984184,-31.0,35.0
2016,"(-32, -30]","(36, 38]",64,0.005751258087706686,-31.0,37.0
2016,"(-32, -30]","(38, 40]",48,0.004313443565780014,-31.0,39.0
2016,"(-32, -30]","(40, 42]",50,0.004493170381020848,-31.0,41.0
2016,"(-32, -30]","(42, 44]",49,0.0044033069734004315,-31.0,43.0
2016,"(-32, -30]","(44, 46]",52,0.004672897196261682,-31.0,45.0
2016,"(-32, -30]","(46, 48]",51,0.004583033788641265,-31.0,47.0
2016,"(-32, -30]","(48, 50]",71,0.006380301941049604,-31.0,49.0
2016,"(-32, -30]","(50, 52]",84,0.007548526240115025,-31.0,51.0
2016,"(-32, -30]","(52, 54]",93,0.008357296908698778,-31.0,53.0
2016,"(-32, -30]","(54, 56]",80,0.007189072609633357,-31.0,55.0
2016,"(-32, -30]","(56, 58]",54,0.004852624011502516,-31.0,57.0
2016,"(-32, -30]","(58, 60]",14,0.0012580877066858376,-31.0,59.0
2016,"(-32, -30]","(60, 62]",10,0.0008986340762041696,-31.0,61.0
2016,"(-32, -30]","(62, 64]",2,0.00017972681524083394,-31.0,63.0
2016,"(-32, -30]","(64, 66]",0,0.0,-31.0,65.0
2016,"(-32, -30]","(66, 68]",0,0.0,-31.0,67.0
2016,"(-32, -30]","(68, 70]",0,0.0,-31.0,69.0
2016,"(-32, -30]","(70, 72]",0,0.0,-31.0,71.0
2016,"(-32, -30]","(72, 74]",0,0.0,-31.0,73.0
